Dien_Tich,So_Phong,Cach_Trung_Tam,Gia
60,2,10,10
40,2,5,12
100,3,7,20
132,4,13,19.98
44,3,8,12.15
90,1,7,18.58
112,3,11,18.92
104,4,5,21.1
129,4,8,23.65
32,2,5,13.6
31,4,12,0.92
59,2,2,20.3
93,4,5,24.51
62,4,10,11.42
51,1,12,2.9
118,1,11,19.22
88,3,10,14.62
121,4,14,17.05
91,3,14,12.47
80,4,7,15.17
145,4,9,23.8
32,1,3,12.41
36,1,9,5.03
68,2,4,18.06
118,4,14,15.38
143,2,9,30.25
119,1,2,26.31
113,4,12,15.35
100,4,13,14.51
37,3,3,15.47
107,1,4,28.79
79,4,4,23.02
31,2,6,11.07
83,2,4,20.86
83,1,2,24.12
119,4,2,27.4
103,2,4,23
43,3,8,6.41
107,3,12,15.36
91,4,5,22.64
109,1,2,26.27
140,1,8,23.91
55,1,12,6.22
89,4,13,13.27
70,1,13,7.87
94,1,7,20.52
38,4,1,13.49
137,4,8,23.48
92,3,3,21.93
110,4,3,23.42
